-15.26	-37.588	45.383	1	1	l.S_cingul-Marginalis
14.303	-37.59	45.995	1	1	r.S_cingul-Marginalis
-27.738	22.278	-9.516	1	1	l.S_circular_insula_ant
29.668	23.312	-7.027	1	1	r.S_circular_insula_ant
-39.502	-13.872	-7.846	1	1	l.S_circular_insula_inf
41.392	-12.95	-7.87	1	1	r.S_circular_insula_inf
-34.484	5.133	11.951	1	1	l.S_circular_insula_sup
34.968	5.708	11.641	1	1	r.S_circular_insula_sup
-40.799	-21.096	-23.879	1	1	l.S_collat_transv_ant
41.753	-20.346	-24.345	1	1	r.S_collat_transv_ant
-24.54	-78.901	-7.608	1	1	l.S_collat_transv_post
25.687	-78.075	-8.216	1	1	r.S_collat_transv_post
-38.112	22.769	21.882	1	1	l.S_front_inf
38.7	23.248	20.601	1	1	r.S_front_inf
-25.968	43.597	18.904	1	1	l.S_front_middle
28.296	40.93	22.288	1	1	r.S_front_middle
-22.711	17.928	43.159	1	1	l.S_front_sup
22.69	18.148	44.827	1	1	r.S_front_sup
-49.911	-52.26	30.213	1	1	l.S_interm_prim-Jensen
47.946	-44.615	35.704	1	1	r.S_interm_prim-Jensen
-28.528	-58.348	38.653	1	1	l.S_intrapariet_and_P_trans
30.463	-56.032	42.846	1	1	r.S_intrapariet_and_P_trans
-41.84	-49.887	-14.185	1	1	l.S_oc-temp_lat
43.127	-50.709	-13.523	1	1	r.S_oc-temp_lat
-30.414	-48.15	-9.37	1	1	l.S_oc-temp_med_and_Lingual
31.511	-46.227	-10.155	1	1	r.S_oc-temp_med_and_Lingual
-30.314	-85.287	3.81	1	1	l.S_oc_middle_and_Lunatus
32.802	-82.079	6.453	1	1	r.S_oc_middle_and_Lunatus
-26.886	-80.465	17.196	1	1	l.S_oc_sup_and_transversal
27.821	-77.321	20.078	1	1	r.S_oc_sup_and_transversal
-41.7	-68.154	0.278	1	1	l.S_occipital_ant
42.996	-65.226	4.085	1	1	r.S_occipital_ant
-24.206	34.927	-11.657	1	1	l.S_orbital-H_Shaped
24.293	35.417	-11.756	1	1	r.S_orbital-H_Shaped
-39.46	40.593	-2.29	1	1	l.S_orbital_lateral
41.491	39.606	-1.682	1	1	r.S_orbital_lateral
-12.768	24.56	-17.598	1	1	l.S_orbital_med-olfact
13.776	22.903	-16.664	1	1	r.S_orbital_med-olfact
